X;Y;ID;NOMBRE;CALLE1;CALLE2;INTERSEC;INAUGURA;LIN_SENT_N;LIN_SENT_S;METROBUS
-58.5261125180663;-34.6382666941643;1;LINIERS;FRANCISCO DE VIEDMA;;ENTRE CASCO Y GANA;SI;34 - 109 - 166;34 - 109 - 166;METROBUS JUAN B. JUSTO
-58.5201431945338;-34.6334969244228;2;VELEZ SARSFIELD;JUAN B. JUSTO AV.;ROMA;;SI;34 - 99 - 166 - 172;34 - 99 - 166 - 172;METROBUS JUAN B. JUSTO
-58.5139131011658;-34.6334578210613;3;POLIDEPORTIVO VELEZ SARSFIELD;JUSTO JUAN B.;GARCIA JUAN AGUSTIN;JUSTO JUAN B. Y GARCIA JUAN AGUSTIN;SI;34 - 99 - 166 - 172;34 - 99 - 166 - 172;METROBUS JUAN B. JUSTO
-58.506729637791;-34.6343410770951;4;CORTINA;JUSTO JUAN B.;CORTINA;JUSTO JUAN B. Y CORTINA;SI;34 - 99 - 166 - 172;34 - 99 - 166 - 172;METROBUS JUAN B. JUSTO
-58.5010420987764;-34.6322077867752;5;AV. LOPE DE VEGA;JUSTO JUAN B.;LOPE DE VEGA;JUSTO JUAN B. Y LOPE DE VEGA;SI;34 - 99 - 166 - 172;34 - 99 - 166 - 172;METROBUS JUAN B. JUSTO
-58.49485369658;-34.6295372757777;6;CARRASCO;JUSTO JUAN B.;CARRASCO;JUSTO JUAN B. Y CARRASCO;SI;34 - 99 - 166 - 172;34 - 99 - 166 - 172;METROBUS JUAN B. JUSTO
-58.4910956462596;-34.6270110382807;7;AV. SEGUROLA;JUSTO JUAN B.;SEGUROLA;JUSTO JUAN B. Y SEGUROLA;SI;34 - 99 - 166 - 172;34 - 99 - 166 - 172;METROBUS JUAN B. JUSTO
-58.4859240774452;-34.625143829521;8;CHIVILCOY;JUSTO JUAN B.;CHIVILCOY;JUSTO JUAN B. Y CHIVILCOY;SI;34 - 166;34 - 166;METROBUS JUAN B. JUSTO
-58.4808176437686;-34.6220415597566;9;CONCORDIA;JUSTO JUAN B.;CONCORDIA;JUSTO JUAN B. Y CONCORDIA;SI;34 - 166;34 - 166;METROBUS JUAN B. JUSTO
-58.4760963333816;-34.618102594928;10;AV. NAZCA;JUSTO JUAN B.;NAZCA;JUSTO JUAN B. Y NAZCA;SI;34 - 166;34 - 166;METROBUS JUAN B. JUSTO
-58.4722554943843;-34.6138239699871;11;ARTIGAS;JUSTO JUAN B.;ARTIGAS JOSE GERVASIO GRAL;JUSTO JUAN B. Y ARTIGAS JOSE GERVASIO GRAL;SI;34 - 166;34 - 166;METROBUS JUAN B. JUSTO
-58.4678482157916;-34.611303822593;12;BOYACA;JUSTO JUAN B.;BOYACA;JUSTO JUAN B. Y BOYACA;SI;34 - 110 - 166;34 - 110 - 166;METROBUS JUAN B. JUSTO
-58.4627046318664;-34.6073730118522;13;AV. DONATO ALVAREZ;JUSTO JUAN B.;ALVAREZ DONATO TTE. GRAL.;JUSTO JUAN B. Y ALVAREZ DONATO TTE. GRAL.;SI;34 - 110 - 166;34 - 110 - 166;METROBUS JUAN B. JUSTO
-58.458473924998;-34.6044918450724;14;AV. SAN MARTIN;JUSTO JUAN B.;SAN MARTIN AV.;JUSTO JUAN B. Y SAN MARTIN AV.;SI;34 - 109 - 110 - 166;34 - 109 - 110 - 166;METROBUS JUAN B. JUSTO
-58.452052278349;-34.6001204426673;15;AV. HONORIO PUEYRREDON;JUSTO JUAN B.;PUEYRREDON HONORIO DR.;JUSTO JUAN B. Y PUEYRREDON HONORIO DR.;SI;34 - 109 - 166;34 - 109 - 166;METROBUS JUAN B. JUSTO
-58.4476901038276;-34.5970914095639;16;MURILLO;JUSTO JUAN B.;MURILLO;JUSTO JUAN B. Y MURILLO;SI;34 - 109 - 166;34 - 109 - 166;METROBUS JUAN B. JUSTO
-58.444300153847;-34.5947640307614;17;AV. CORRIENTES;JUSTO JUAN B.;CORRIENTES;JUSTO JUAN B. Y CORRIENTES;SI;34 - 166;34 - 166;METROBUS JUAN B. JUSTO
-58.4407030186401;-34.5922669285899;18;AGUIRRE;JUSTO JUAN B.;AGUIRRE;JUSTO JUAN B. Y AGUIRRE;SI;34 - 166;34 - 166;METROBUS JUAN B. JUSTO
-58.434753212275;-34.5853721949591;20;HONDURAS;JUSTO JUAN B.;HONDURAS;JUSTO JUAN B. Y HONDURAS;SI;34 - 166;34 - 166;METROBUS JUAN B. JUSTO
-58.4300412553975;-34.5818796847832;21;GUATEMALA;JUSTO JUAN B.;GUATEMALA;JUSTO JUAN B. Y GUATEMALA;SI;34 - 166;34 - 166;METROBUS JUAN B. JUSTO
-58.4265153540626;-34.5775832414406;23;PACIFICO;BULLRICH INT AV;SANTA FE;BULLRICH INT AV Y SANTA FE;SI;34 - 166;34 - 166;METROBUS JUAN B. JUSTO
-58.3808540572395;-34.6188767140538;27;ESTADOS UNIDOS;AV. 9 DE JULIO;;ENTRE CARLOS CALVO Y ESTADOS UNIDOS;SI;10 -- 17 -- 59;59 -- 10 -- 17;METROBUS 9 DE JULIO
-58.3808827691278;-34.6178904773706;28;INDEPENDENCIA;AV. 9 DE JULIO;;ENTRE ESTADOS UNIDOS E INDEPENDENCIA;SI;45 -- 70;45 -- 70;METROBUS 9 DE JULIO
-58.3809449927938;-34.6166794883139;29;CHILE;AV. 9 DE JULIO;;ENTRE INDEPENDENCIA Y CHILE;SI;9 -- 91 -- 100;100 -- 9 -- 91;METROBUS 9 DE JULIO
-58.3809905284027;-34.6155097729598;30;MEXICO;AV. 9 DE JULIO;;ENTRE CHILE Y MEXICO;SI;67 -- 129;67 -- 98 -- 129;METROBUS 9 DE JULIO
-58.381030356945;-34.6145006069406;31;VENEZUELA;AV. 9 DE JULIO;;ENTRE MEXICO Y VENEZUELA;SI;10 -- 17 -- 59;59 -- 10 -- 17;METROBUS 9 DE JULIO
-58.3810424601935;-34.6134730732241;32;BELGRANO;AV. 9 DE JULIO;;ENTRE VENEZUELA Y BELGRANO;SI;45 -- 70 -- 100;100 -- 45 -- 70;METROBUS 9 DE JULIO
-58.381171727514;-34.611070891371;33;ALSINA;AV. 9 DE JULIO;;ENTRE MORENO Y ALSINA;SI;129;129;METROBUS 9 DE JULIO
-58.381255566549;-34.6099440878641;34;YRIGOYEN;AV. 9 DE JULIO;;ENTRE ALSINA E HIPOLITO YRIGOYEN;SI;9 -- 91 -- 67;67 -- 9 -- 91;METROBUS 9 DE JULIO
-58.3813918661666;-34.6075846089842;35;MITRE;AV. 9 DE JULIO;;ENTRE RIVADAVIA Y BARTOLOME MITRO;SI;10 -- 17 -- 59;59 -- 10 -- 17;METROBUS 9 DE JULIO
-58.3814587397799;-34.6064568154422;36;JUAN D. PERON;AV. 9 DE JULIO;;ENTRE BARTOLOME MITRE Y PERON;SI;45 -- 70 -- 100;100 -- 45 -- 70;METROBUS 9 DE JULIO
-58.3815394202477;-34.6053778858849;37;OBELISCO SUR;AV. 9 DE JULIO;;ENTRE JUAN D. PERON Y SARMIENTO;SI;9 -- 67 -- 129;9 -- 67 -- 129;METROBUS 9 DE JULIO
-58.3817535578343;-34.6017254419825;38;OBELISCO NORTE;AV. 9 DE JULIO;;ENTRE LAVALLE Y TUCUMAN;SI;100 -- 17 -- 59;59 -- 100 -- 17;METROBUS 9 DE JULIO
-58.3818123103929;-34.6005804300295;39;TEATRO COLON;AV. 9 DE JULIO;;ENTRE TUCUMAN Y VIAMONTE;SI;45 -- 70 -- 10;10 -- 45 -- 70;METROBUS 9 DE JULIO
-58.3818550522952;-34.5994274672618;40;CORDOBA;AV. 9 DE JULIO;;ENTRE VIAMONTE Y AV CORDOBA;SI;9 -- 67;67 -- 9;METROBUS 9 DE JULIO
-58.3818950222302;-34.5982531573038;41;PARAGUAY;AV. 9 DE JULIO;;ENTRE AV CORDOBA Y PARAGUAY;SI;10 -- 17 -- 59;59 -- 10 -- 17;METROBUS 9 DE JULIO
-58.3820015194344;-34.5971201763966;42;MARCELO T. DE ALVEAR;AV. 9 DE JULIO;;ENTRE PARAGUAY Y MARCELO T. DE ALVEAR;SI;129;129;METROBUS 9 DE JULIO
-58.3821303401802;-34.595845005054;43;SANTA FE;AV. 9 DE JULIO;;ENTRE MARCELO T. DE ALVEAR Y AV. SANTA FE;SI;100 -- 70 -- 67;100 -- 70 -- 67;METROBUS 9 DE JULIO
-58.3810084680838;-34.6274387354672;44;CONSTITUCION;BRASIL;LIMA;;SI;;;METROBUS SUR
-58.3915523092275;-34.6272570886298;45;COMBATE DE LOS POZOS;GARAY JUAN DE AV;;ENTRE COMBATE DE LOS POZOS Y ENTRE RIOS;SI;;4 - 143;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.3960647227167;-34.6279561266726;46;PICHINCHA;GARAY JUAN DE AV;;ENTRE PASCO Y PICHINCHA;SI;;4 - 143;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.4008428791158;-34.6286641105827;47;JUJUY;GARAY JUAN DE AV;;ENTRE JUJUY Y ALBERTI;SI;;4 - 143;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.4072238225876;-34.6311796897138;48;LA RIOJA;CHICLANA AV;;ENTRE LA RIOJA Y GRAL URQUIZA;SI;;143;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.4102738064037;-34.633708221953;49;SANCHEZ DE LORIA;CHICLANA AV;;ENTRE 24 DE NOVIEMBRE Y SANCHEZ DE LORIA;SI;;143;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.4152811318649;-34.636940191422;50;BOEDO;CHICLANA AV;;ENTRE ALZAGA Y BOEDO;SI;;101 - 143;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.4193247411605;-34.6400397071959;51;CASEROS;FERNANDEZ DE LA CRUZ AV;;ENTRE CASEROS Y TROLE;SI;23 - 101 - 143;;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.4231801244574;-34.6431013538967;52;AV LA PLATA;FERNANDEZ DE LA CRUZ AV;;ENTRE GUAL Y RIESTRA;SI;23 - 101 - 143;101 - 143;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.4279381978776;-34.6475321915059;53;DEL BARCO CENTENERA;FERNANDEZ DE LA CRUZ AV;;ENTRE LANZA Y DEL BARCO CENTENERA;SI;101 - 143;101 - 143 - 150;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.4311685092763;-34.6503572341002;54;PERITO MORENO;FERNANDEZ DE LA CRUZ AV;;ENTRE MOM Y EREZCANO;SI;101 - 143 -150;46 - 101 - 143 - 150;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.4344920810825;-34.653047727548;55;SAN LORENZO;FERNANDEZ DE LA CRUZ AV;;ENTRE CHARRUA Y BERG;SI;46 - 101 - 143 -150;46 - 101 - 143 - 150;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.4381873346941;-34.6553165709766;56;VARELA;FERNANDEZ DE LA CRUZ AV;;ENTRE PEDERNERA Y CASTAÑARES;SI;;101 - 143 - 150;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.4424416757161;-34.6593124133848;57;LAFUENTE;FERNANDEZ DE LA CRUZ AV;;ENTRE SAN PEDRITO Y JOSE MARTI;SI;23 - 76 - 101 - 143 - 150;23 - 76 - 101 - 143 -150;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.449044033439;-34.6643276542114;58;LAGUNA;FERNANDEZ DE LA CRUZ AV;;ENTRE LAGUNA Y LACARRA;SI;101 - 143 -  150;101 - 143 -  150;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.4547170640975;-34.6691887806289;59;CECILIA GRIERSON;FERNANDEZ DE LA CRUZ AV;;ENTRE LACARRA Y ESCALADA;SI;101 - 143 -  150;101 - 143 -  150;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.4619023017799;-34.6755866123532;60;ESCALADA;FERNANDEZ DE LA CRUZ AV;;ENTRE ESCALADA Y POLA;SI;101 - 114 - 143 - 150;101 - 114 - 143 - 150;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.4655069672721;-34.6789102440257;61;POLA;FERNANDEZ DE LA CRUZ AV;;ENTRE FOUNROUGE Y LARRAYA;SI;101 - 114 - 143 - 150;101 - 114 - 143 - 150;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.4723019052065;-34.6848291457924;62;LISANDRO DE LA TORRE;FERNANDEZ DE LA CRUZ AV;;FERNANDEZ DE LA CRUZ Y LISANDRO DE LA TORRE;SI;36 - 143;36 - 143;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.4757022683789;-34.6879008328316;63;PIEDRABUENA;FERNANDEZ DE LA CRUZ AV;;ENTRE PIEDRABUENA Y GUAMINI;SI;36 - 143 - 150;36 - 143 - 150;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.4768627289046;-34.6889468284827;64;MONTIEL;FERNANDEZ DE LA CRUZ AV;;FERNANDEZ DE LA CRUZ Y MONTIEL;SI;36 - 143;36 - 143;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.4780814723553;-34.6900538002201;65;JOSE L. SUAREZ;FERNANDEZ DE LA CRUZ AV;;ENTRE SALADILLO Y JOSE LEON SUAREZ;SI;36 - 143;36 - 143;METROBUS SUR - RAMAL FERNANDEZ DE LA CRUZ
-58.4618089710669;-34.7045196955955;66;PUENTE LA NORIA;GRAL. PAZ, AV.;27 DE FEBRERO AV.;;SI;;;METROBUS SUR
-58.4697644399137;-34.697795350077;67;GRAL PAZ;ROCA CNEL AV;;ROCA CNEL Y GRAL PAZ;SI;91 - 101 - 114 - 117 - 141;91 - 101 - 114 - 117 - 141;METROBUS SUR - RAMAL CORONEL ROCA
-58.4673916227606;-34.6956224437717;68;GUAMINI;ROCA CNEL AV;;ENTRE GUAMINI Y MONTIEL;SI;91 - 101 - 114 - 117 - 141;91 - 101 - 114 - 117 - 141;METROBUS SUR - RAMAL CORONEL ROCA
-58.46633367766;-34.6946518718454;69;PIEDRABUENA;ROCA CNEL AV;;ENTRE PIEDRABUENA Y GUAMINI;SI;91 - 101 - 114 - 117;91 - 101 - 114 - 117;METROBUS SUR - RAMAL CORONEL ROCA
-58.4635700565548;-34.6921412097659;70;LISANDRO DE LA TORRE;ROCA CNEL AV;;ENTRE LISANDRO DE LA TORRE Y TIMOTEO GORDILLO;SI;47 - 91 - 114 - 117 -150;47 - 91 - 114 - 117;METROBUS SUR - RAMAL CORONEL ROCA
-58.4574292184394;-34.6861371824482;71;LARRAZABAL;ROCA CNEL AV;;ENTRE PASAJE ROCA Y LARRAZABAL;SI;;91 - 115;METROBUS SUR - RAMAL CORONEL ROCA
-58.4530877883691;-34.6825025234944;72;ESCALADA;ROCA CNEL AV;;ENTRE ESCALADA Y PASAJE ROCA;SI;91 - 115;91 - 115;METROBUS SUR - RAMAL CORONEL ROCA
-58.4481350991623;-34.6763542216201;73;ESTADIO PARQUE ROCA;ROCA CNEL AV;;ENTRE ESCALADA Y LACARRA;SI;91 - 115;91 - 115;METROBUS SUR - RAMAL CORONEL ROCA
-58.4453918656202;-34.6720119679678;74;PARQUE ROCA;ROCA CNEL AV;;ENTRE ESCALADA Y LACARRA;SI;91 - 115;91 - 115;METROBUS SUR - RAMAL CORONEL ROCA
-58.4404169573735;-34.6664589093931;75;MARIANO ACOSTA;ROCA CNEL AV;;ENTRE PERGAMINO Y MARIANO ACOSTA;SI;91 - 115;91 - 115;METROBUS SUR - RAMAL CORONEL ROCA
-58.4423465028447;-34.6681883219684;76;LACARRA;ROCA CNEL AV;;ENTRE MARIANO ACOSTA Y LACARRA;SI;91 - 115;91 - 115;METROBUS SUR - RAMAL CORONEL ROCA
-58.4371509662639;-34.6633961690332;77;LAFUENTE;RABANAL AV;;ENTRE SAN PEDRITO Y JOSE MARTI;SI;;91 - 115;METROBUS SUR - RAMAL CORONEL ROCA
-58.4330134430965;-34.66149905324;78;VARELA;RABANAL AV;;ENTRE VARELA Y CULPINA;SI;;76 - 91 - 115;METROBUS SUR - RAMAL CORONEL ROCA
-58.4295487255739;-34.6599187006624;79;BERG;RABANAL AV;;ENTRE BERG Y RIVERA INDARTE;SI;;76 - 91 - 115;METROBUS SUR - RAMAL CORONEL ROCA
-58.4263593337239;-34.6585030889658;80;BONORINO;RABANAL AV;;ENTRE BONORINO ESTEBAN Y CHARRUA;SI;;76 - 91 - 115;METROBUS SUR - RAMAL CORONEL ROCA
-58.4218123502893;-34.6563054218412;81;VEDIA;RABANAL AV;;RABANAL Y VEDIA AGUSTIN;SI;;76 - 91 - 115;METROBUS SUR - RAMAL CORONEL ROCA
-58.4173038474323;-34.6549521058308;82;SAENZ;RABANAL AV;;ENTRE SAENZ Y DEL BARCO CENTENERA;SI;;76 - 91 - 115;METROBUS SUR - RAMAL CORONEL ROCA
-58.416366660215;-34.65167893523;83;POMPEYA;SAENZ AV;;ENTRE LUPPI Y LYNCH;SI;91 - 115;91 - 115;METROBUS SUR - RAMAL CORONEL ROCA
-58.4157470425851;-34.6475981569553;84;GRITO DE ASENCIO;ALMAFUERTE AV;;ENTRE FAMATINA Y GRITO DE ASENCIO;SI;115;;METROBUS SUR - RAMAL CORONEL ROCA
-58.41418336116;-34.645057418478;85;JOSE C. PAZ;ALMAFUERTE AV;;ENTRE ANDRES FERREIRA Y JOSE C PAZ;SI;115;;METROBUS SUR - RAMAL CORONEL ROCA
-58.4128675241834;-34.6421498867279;86;CORTEJARENA;ALMAFUERTE AV;;ENTRE PUNA Y CHUTRO;SI;115;;METROBUS SUR - RAMAL CORONEL ROCA
-58.4106940273911;-34.6362955837275;87;BATHURST;SANCHEZ DE LORIA AV;;ENTRE CATULO CASTILLO Y RONDEAU;SI;115;;METROBUS SUR - RAMAL CORONEL ROCA
-58.4095694524469;-34.6347884204905;88;BRASIL;BRASIL AV;;ENTRE 24 DE NOVIEMBRE Y SANCHEZ DE LORIA;SI;6 - 97 - 143;;METROBUS SUR - RAMAL CORONEL ROCA
-58.4066852353215;-34.6339017090725;89;LA RIOJA;BRASIL AV;;ENTRE LA RIOJA Y GRAL URQUIZA;SI;6 - 97 -143;;METROBUS SUR - RAMAL CORONEL ROCA
-58.4009974665398;-34.6317747254111;90;JUJUY;BRASIL AV;;ENTRE JUJUY Y CATAMARCA;SI;6 - 97 -143;;METROBUS SUR - RAMAL CORONEL ROCA
-58.3953996681861;-34.630204617071;91;GARRAHAN;BRASIL AV;;ENTRE PICHINCHA Y COMBATE DE LOS POZOS;SI;6 - 97 -143;;METROBUS SUR - RAMAL CORONEL ROCA
-58.3920609190155;-34.6295830838638;92;ENTRE RIOS;BRASIL AV;;ENTRE PICHINCHA Y COMBATE DE LOS POZOS;SI;6 - 97 -143;;METROBUS SUR - RAMAL CORONEL ROCA
